COD,QUESTAO,,,,,,,,,,,,,
1,"Existe na área o atendimento dos critérios estabelecidos para aplicação da Lei 13.465/17, especialmente no que tange à atenção aos seus objetivos? (priorizar a permanência dos ocupantes nos próprios núcleos urbanos informais regularizados, promover a integração social e a geração de emprego e renda, garantir o direito social à moradia digna) ", especialmente no que tange à atenção aos seus objetivos? (priorizar a permanência dos ocupantes nos próprios núcleos urbanos informais regularizados, promover a integração social e a geração de emprego e renda, garantir o direito social à moradia digna) ,,,,,,,,,,
2,Existe impedimento para a aplicação dos §§2º e 3º do artigo 11 da Lei 13.465/17? ,,,,,,,,,,,,,
3,"O perímetro do Loteamento Conjunto Residencial Jardim Graciosa ocupa área de APA? Se sim, essa é uma área considerada de uso sustentável?", essa é uma área considerada de uso sustentável?,,,,,,,,,,,,
4,Foram identificadas iniciativas dos moradores em relação à geração de renda aliada à preservação ambiental?,,,,,,,,,,,,,
5,"Queira o Sr. Perito indicar qual legislação, artigo e parágrafos foram utilizados como base para a realização da perícia, especialmente para aferir metragens das áreas de APA, APP, nascentes, rios, indicando ainda, sua localização exata e delimitação.", artigo e parágrafos foram utilizados como base para a realização da perícia, especialmente para aferir metragens das áreas de APA, APP, nascentes, rios, indicando ainda, sua localização exata e delimitação.,,,,,,
6,"Queira o Senhor Perito indicar quais os lotes e respectivas quadras do Loteamento do Conjunto Residencial Graciosa estão inseridos na área de Preservação Permanente (APP),",,,,,,,,,,,,,
7,Queira o Senhor Perito indicar quais os lotes e respectivas quadras do Loteamento do Conjunto Residencial Graciosa estão inseridos na área de Preservação Ambiental (APA);,,,,,,,,,,,,,
8,Queira o Senhor Perito indicar quantas nascentes e cursos de água existem atualmente na área do Conjunto Residencial Graciosa e em quais lotes e quadras eles estão localizados:,,,,,,,,,,,,,
9,"Considerando que existem ocupações e construções na área do Conjunto Residencial Graciosa e consequente degradação da área, pode o Senhor Perito informar em quais lotes e quadras ocorreu a degradação, 
qual o tipo de dano e se há recuperação dessa área danificada?", pode o Senhor Perito informar em quais lotes e quadras ocorreu a degradação, qual o tipo de dano e se há recuperação dessa área danificada?,,,,,,,,,,,
10,"Ainda, com relação ao quesito do item 4, pode o Sr. Perito informar quem praticou a degradação e se esta pessoa ou pessoas estão usufruindo o imóvel, qual o tipo de edificação existente, qual o dano produzido e quais os lotes e suas respectivas quadras que foram afetados;",,,,,,,,,,,,,
11,"Pode o Sr. Perito enformar quais foram as medidas tomadas pelos Órgãos Públicos responsáveis pela área, para a preservação dela?", para a preservação dela?,,,,,,,,,,,,
12,"Considerando a área comtemplada no Loteamento Conjunto Residencial Graciosa, objeto da presente perícia, pode o Sr. Perito informar se há valor comercial sobre o m² de um lote de 408m² e qual seria este valor?", objeto da presente perícia, pode o Sr. Perito informar se há valor comercial sobre o m² de um lote de 408m² e qual seria este valor?,,,,,,,,,,,
13,"Pode o Sr. Perito informar se os Órgãos Públicos responsáveis pela área, após a edição dos Decretos de preservação ambiental, enviaram comunicado aos Cartórios de Registro de Imóveis de Piraquara e Pinhais para se absterem de praticar qualquer ato de transferência de propriedade sobre os lotes comercializados?", após a edição dos Decretos de preservação ambiental, enviaram comunicado aos Cartórios de Registro de Imóveis de Piraquara e Pinhais para se absterem de praticar qualquer ato de transferência de propriedade sobre os lotes comercializados?,,,,,,,,,,,
14,Pode o Sr. Perito informar quais foram os lotes e respectivas quadras do Loteamento Conjunto Residencial Graciosa que foram permutados e/ou desapropriados?,,,,,,,,,,,,,
15,"Pode o Sr. Perito informar quais as quadras e lotes que tem ocupação e de que tipo, bem como, se há alguma especificação dos Órgãos Públicos quanto à metragem estabelecida para cada lote?", bem como, se há alguma especificação dos Órgãos Públicos quanto à metragem estabelecida para cada lote?,,,,,,,,,,,
16,"Queira o Sr. Perito mediante pesquisa junto ao ITCG (Instituto de Terras, Cartografia e Geologia do Paraná, antigo ITC, e junto ao IAT (Instituto Água e Terra), antigo IAP, ou Google Earth, apresentar aos autos 
fotos aéreas do Loteamento Conjunto Residencial Graciosa dos anos 1975, 
1980, 1985, 1990 e 1995, ou anos próximos a esses períodos.", Cartografia e Geologia do Paraná, antigo ITC, e junto ao IAT (Instituto Água e Terra), antigo IAP, ou Google Earth, apresentar aos autos fotos aéreas do Loteamento Conjunto Residencial Graciosa dos anos 1975,1980,1985, 1990 e 1995, ou anos próximos a esses períodos.,,,
17,"Com base nos levantamentos feitos e apresentação das fotos aéreas dos anos requeridos no item 11 acima, pode o Sr. Perito informar se no ano de 1975 até 1995 já existiam ruas abertas no Loteamento Conjunto Residencial Graciosa e delimitação das quadras?", pode o Sr. Perito informar se no ano de 1975 até 1995 já existiam ruas abertas no Loteamento Conjunto Residencial Graciosa e delimitação das quadras?,,,,,,,,,,,,
18,"A ocupação do lote em questão atende aos critérios da Zona de Ocupação Orientada IV, conforme Lei Municipal n. 1.233/2011?", conforme Lei Municipal n. 1.233/2011?,,,,,,,,,,,,
19,"A ocupação atende os critérios previstos para a área de uso permissível definidos pela Lei Municipal n. 1.233/2011, isto é, habitação unifamiliar, condomínio residencial horizontal, chácaras de lazer, áreas de esporte/lazer, atividades agropecuárias sem uso de agrotóxico, restaurantes, comércio e serviço vicinal, atividades e serviços de apoio ao turismo, lazer e recreação, uso de interesse público, habitação transitória, estabelecimentos agropecuários?", isto é, habitação unifamiliar, condomínio residencial horizontal, chácaras de lazer, áreas de esporte/lazer, atividades agropecuárias sem uso de agrotóxico, restaurantes, comércio e serviço vicinal, atividades e serviços de apoio ao turismo, lazer e recreação, uso de interesse público, habitação transitória, estabelecimentos agropecuários?
20,PODE O SENHOR PERITO PRESTAR ESCLARECIMENTOS ADICIONAIS QUE ENTENDER IMPORTANTES PARA A CONCLUSÃO DO PRESENTE LAUDO?,,,,,,,,,,,,,
21,Queira o sr. Perito apresentar o respectivo mapa/croqui esclarecendo a área em APP e o local da edificação residencial;,,,,,,,,,,,,,
22,PODE O SENHOR PERITO PRECISAR SE O CONJUNTO RESIDENCIAL GRACIOSA ESTÁ INSERIDO NA UNIDADE TERRITORIAL DE PLANEJAMENTO DE PINHAIS E NA ÁREA DE PROTEÇÃO AMBIENTAL - APA DO IRAÍ?  QUAL A DELIMITAÇÃO DE CADA ÁREA?,,,,,,,,,,,,,
23,PODE O SENHOR PERITO CONFIRMAR A DELIMITAÇÃO DAS ÁREAS DE PRESERVAÇÃO PERMANENTE APRESENTADAS PELO MUNICÍPIO EM PLANTA ANEXA,,,,,,,,,,,,,
24,O tanque presente no lote confronta com algum curso de água?,,,,,,,,,,,,,
25,Quais as obrigações de fazer requeridas pelo Município nos autos n. 0000616 88.2019.8.16.0033 e seus respectivos impactos ambientais?,,,,,,,,,,,,,
